gid,objectname,the_geom_text,geom_type,properties
34974,JL. RO HIMALAYA 08,"LINESTRING(117.433327976872 0.646408530841243,117.433530074793 0.64892016204506,117.433697511212 0.649701465610982)",road,367.012
35831,JL. IP FLAMINGGO 02,"LINESTRING(117.469131695903 0.717908469281307,117.469117411354 0.717884661698767,117.469079319222 0.717522786444165,117.469145980453 0.717179957255595,117.470479205075 0.715213450937825)",road,345.201
35150,JL. RO BANGAU NEW 03,"LINESTRING(117.471885885328 0.70135369594748,117.470525757231 0.704933119059063,117.470327671015 0.705490888140899,117.470180270342 0.706084217603388)",road,556.886
36112,JL. RO MAROKO 03B,"LINESTRING(117.452719928253 0.691319187275099,117.452204090129 0.691188121421687,117.45131754477 0.690822394857058)",road,165.867
36938,IN DISP. CADAS RL60,"LINESTRING(117.459760629917 0.718502292825678,117.459772559479 0.718195156876602,117.459907923064 0.717769336183052)",road,83.424
17838,JL. RO PARIS 05,"LINESTRING(117.44824358529 0.701786323612023,117.448212896669 0.701194021600749,117.448102732781 0.700751450889568)",road,116.032
34004,JL. RO MELATI 5200,"LINESTRING(117.440890389069 0.613179820383108,117.440787460563 0.612461771518633,117.440897741105 0.611743722654158)",road,160.561
35936,IN MHR GATSU,"LINESTRING(117.460470720022 0.657859570862293,117.459786944908 0.657377445279679)",road,92.926
33626,JL. RO SAMARINDA 02,"LINESTRING(117.498557010167 0.720888035174438,117.498263428977 0.720973036387896,117.496949439854 0.721631396341923,117.495514076715 0.722343681210691)",road,375.509
11265,JL. CRUSHER 78 04,"LINESTRING(117.439997847477 0.607948551070436,117.440214729902 0.608141335448151,117.441018976116 0.608596083395866)",road,134.885
37171,IN FRONT EX2385,"LINESTRING(117.440897741105 0.611743722654158,117.442461642282 0.612801021992189)",road,209.697
11266,JL. RO AHMAD DAHLAN 02,"LINESTRING(117.431171380264 0.602713118510374,117.431430991692 0.602791568966569,117.432503354793 0.602984353344284,117.433256273671 0.603192129462298,117.433840796413 0.603369922099713,117.43420131493 0.603629766018769,117.434521614149 0.603950065237637,117.435105943892 0.60465916762568,117.435539708742 0.604864001027002,117.435949375545 0.604839902979787,117.436407238442 0.604671216649287)",road,661.07
32489,IN CS. KASWARI COAL,"LINESTRING(117.472031361322 0.686340387298386,117.471909532853 0.686743200131617,117.472501038316 0.687372622611051,117.472956227155 0.687342020651155)",road,193.147
14144,JL. RO CRUSHER 04,"LINESTRING(117.502212304022 0.552266874374648,117.503067976408 0.551675682543807,117.503565822161 0.551115606072483,117.504141456312 0.550384395123811,117.504514840626 0.549979895450077,117.505090474777 0.54963762649538)",road,437.269
14145,JL. RO CRUSHER 05,"LINESTRING(117.505090474777 0.54963762649538,117.505697224288 0.549404261298995,117.506599569714 0.549342030579959,117.507221876904 0.549310915220441)",road,242.338
31763,JL. RO KETAMPI,"LINESTRING(117.498603613453 0.706173146521099,117.499698312086 0.706236737229588,117.500578088151 0.706170339036024,117.501657058796 0.706618526842581,117.502819027183 0.706967117358792,117.503516208216 0.70726590922983,117.503798400538 0.707299108326612,117.505989540926 0.705390160261648,117.506919115636 0.704493784648534,117.507417102088 0.704493784648534,117.50759969712 0.704211592325887)",road,1159.623
30485,JL. RO COTHA 01,"LINESTRING(117.457898510931 0.660060172534757,117.45802271035 0.659832084294828,117.458158838456 0.659716230587978,117.458975607089 0.659302053585991)",road,150.403
31762,JL. RO LIMING KELAYANG,"LINESTRING(117.495915936269 0.710603351498879,117.496406230739 0.709362045100914,117.496485934429 0.708910390857739,117.496353094946 0.708491946485387,117.496386304816 0.708013724345555,117.496744971421 0.707475724438245,117.49830583535 0.706519280158582,117.498584798265 0.706333304881981,117.498603613453 0.706173146521099)",road,630.133
11267,JL. RO AHMAD DAHLAN 04,"LINESTRING(117.439299004107 0.604562775436823,117.439985798453 0.604430236177144,117.440865377176 0.604357942035501,117.441720857852 0.604430236177144,117.44314718163 0.604474055206843)",road,430.48
